test_id,test_name,module,priority,preconditions,steps,expected_result,test_data,tags,page_name
TC_PRODUCTS_006,Add single product to cart,saucedemo,P0,User is logged in|User is on products page|Cart is empty,Login with standard_user credentials|Click add-to-cart-sauce-labs-backpack button|Verify button text changes to 'Remove'|Verify cart badge shows '1',Product is added to cart|Button changes to 'Remove'|Shopping cart badge displays '1',product=sauce-labs-backpack|price=$29.99,"cart,products,positive,smoke,P0",ProductsPage
TC_PRODUCTS_007,Add multiple products to cart,saucedemo,P0,User is logged in|User is on products page|Cart is empty,Login with standard_user credentials|Click add-to-cart-sauce-labs-backpack button|Click add-to-cart-sauce-labs-bike-light button|Click add-to-cart-sauce-labs-bolt-t-shirt button|Verify cart badge shows '3',All three products are added to cart|Each button changes to 'Remove'|Shopping cart badge displays '3',product1=sauce-labs-backpack|product2=sauce-labs-bike-light|product3=sauce-labs-bolt-t-shirt,"cart,products,positive,P0",ProductsPage
TC_PRODUCTS_008,View product details by clicking product image,saucedemo,P2,User is logged in|User is on products page,Login with standard_user credentials|Click on item-4-img-link (Sauce Labs Backpack image)|Verify product detail page is displayed,Product detail page is displayed|Product name is shown|Product description is visible|Price is displayed|Add to cart button is available,product=sauce-labs-backpack,"products,navigation,positive,P2",ProductsPage
TC_CART_001,View cart with items,saucedemo,P0,User is logged in|At least one product is in cart,Login with standard_user credentials|Click add-to-cart-sauce-labs-backpack button|Click shopping-cart-link|Verify cart page is displayed|Verify added product is shown in cart,Cart page is displayed|Added product is visible|Product name matches|Product price is displayed|Quantity is shown,product=sauce-labs-backpack|price=$29.99,"cart,positive,smoke,P0",CartPage
TC_CART_002,Remove item from cart on products page,saucedemo,P0,User is logged in|Product is already in cart,Login with standard_user credentials|Click add-to-cart-sauce-labs-backpack button|Verify button shows 'Remove'|Click the Remove button|Verify button changes back to 'Add to cart'|Verify cart badge is removed or shows '0',Product is removed from cart|Button text changes to 'Add to cart'|Cart badge is updated,product=sauce-labs-backpack,"cart,positive,P0",ProductsPage
TC_CART_003,Continue shopping from cart page,saucedemo,P1,User is logged in|User is on cart page,Login with standard_user credentials|Click add-to-cart-sauce-labs-backpack button|Click shopping-cart-link|Click Continue Shopping button|Verify user is redirected to products page,User is redirected to products page|URL contains '/inventory.html'|Products are displayed|Cart items are preserved,product=sauce-labs-backpack,"cart,navigation,positive,P1",CartPage
TC_CART_004,Proceed to checkout from cart,saucedemo,P0,User is logged in|At least one product is in cart,Login with standard_user credentials|Click add-to-cart-sauce-labs-backpack button|Click shopping-cart-link|Click Checkout button|Verify checkout information page is displayed,Checkout page is displayed|First name field is visible|Last name field is visible|Postal code field is visible,product=sauce-labs-backpack,"cart,checkout,positive,smoke,P0",CartPage
TC_CHECKOUT_001,Complete checkout with valid information,saucedemo,P0,User is logged in|At least one product is in cart|User is on checkout information page,Login with standard_user credentials|Add product to cart|Navigate to cart|Click Checkout|Enter 'John' in first name field|Enter 'Doe' in last name field|Enter '12345' in postal code field|Click Continue|Verify checkout overview page|Click Finish|Verify order confirmation,Checkout overview is displayed|Order total is calculated correctly|Order is completed successfully|Confirmation message is displayed|Thank you message is shown,first_name=John|last_name=Doe|postal_code=12345,"checkout,positive,smoke,P0",CartPage
TC_CHECKOUT_002,Checkout with missing first name,saucedemo,P1,User is logged in|At least one product is in cart|User is on checkout information page,Login with standard_user credentials|Add product to cart|Navigate to cart|Click Checkout|Leave first name field empty|Enter 'Doe' in last name field|Enter '12345' in postal code field|Click Continue,User remains on checkout information page|Error message indicates first name is required|Checkout does not proceed,first_name=|last_name=Doe|postal_code=12345,"checkout,negative,validation,P1",CartPage
TC_CHECKOUT_003,Checkout with missing last name,saucedemo,P1,User is logged in|At least one product is in cart|User is on checkout information page,Login with standard_user credentials|Add product to cart|Navigate to cart|Click Checkout|Enter 'John' in first name field|Leave last name field empty|Enter '12345' in postal code field|Click Continue,User remains on checkout information page|Error message indicates last name is required|Checkout does not proceed,first_name=John|last_name=|postal_code=12345,"checkout,negative,validation,P1",CartPage
TC_CHECKOUT_004,Checkout with missing postal code,saucedemo,P1,User is logged in|At least one product is in cart|User is on checkout information page,Login with standard_user credentials|Add product to cart|Navigate to cart|Click Checkout|Enter 'John' in first name field|Enter 'Doe' in last name field|Leave postal code field empty|Click Continue,User remains on checkout information page|Error message indicates postal code is required|Checkout does not proceed,first_name=John|last_name=Doe|postal_code=,"checkout,negative,validation,P1",CartPage
